member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_high,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
213901,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
214056,46,2021-08-04,0.5833333333333333,1,1,high,median_full_sample,0.5,0.5
216799,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
219751,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
220810,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
221334,46,2021-08-04,0.2222222222222222,1,0,baseline,median_full_sample,0.5,0.5
221859,46,2021-08-04,0.20833333333333331,1,0,baseline,median_full_sample,0.5,0.5
223105,46,2021-08-04,0.2708333333333333,1,0,baseline,median_full_sample,0.5,0.5
223113,46,2021-08-04,0.4375,1,0,baseline,median_full_sample,0.5,0.5
225205,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
225745,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
225799,46,2021-08-04,0.4166666666666667,1,0,baseline,median_full_sample,0.5,0.5
226225,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
226455,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
227041,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
227585,46,2021-08-04,0.5555555555555555,1,1,high,median_full_sample,0.5,0.5
228027,46,2021-08-04,0.1,1,0,baseline,median_full_sample,0.5,0.5
229408,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
232660,46,2021-08-04,0.1875,1,0,baseline,median_full_sample,0.5,0.5
234422,46,2021-08-04,0.4444444444444444,1,0,baseline,median_full_sample,0.5,0.5
234446,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
236547,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
236968,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
237951,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
239603,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
240956,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
241703,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
242407,46,2021-08-04,0.6222222222222222,1,1,high,median_full_sample,0.5,0.5
242448,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
242763,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
243994,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
244606,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
245397,46,2021-08-04,0.1875,1,0,baseline,median_full_sample,0.5,0.5
245867,46,2021-08-04,0.08333333333333333,1,0,baseline,median_full_sample,0.5,0.5
245943,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
246234,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
248072,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
248938,46,2021-08-04,0.2222222222222222,1,0,baseline,median_full_sample,0.5,0.5
249080,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
