avg_order_value,total_spend,n_orders,avg_basket_size,unique_stores,coupon_usage_rate,avg_discount,weeks_active,order_per_week,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount,member_id,period_type
52.0,52.0,1,2.0,1,1.0,0.25,1.0,1.0,0,2,3.0,0,0,126532.0,active
29.0,87.0,3,1.0,1,0.6666666666666666,0.25,4.714285714285714,0.6363636363636364,0,2,4.0,0,0,129566.0,active
28.0,28.0,1,1.0,1,0.0,0.2,1.0,1.0,0,2,1.0,0,0,146423.0,active
37.333333333333336,112.0,3,1.3333333333333333,3,0.3333333333333333,0.18333333333333335,2.0,1.5,0,2,3.0,0,0,151092.0,active
31.0,31.0,1,1.0,1,1.0,0.2,1.0,1.0,0,2,0.0,1,0,151482.0,active
31.0,403.0,13,1.0769230769230769,2,0.15384615384615385,0.27692307692307694,9.428571428571429,1.3787878787878787,0,2,3.0,0,0,173692.0,active
237.0,474.0,2,8.0,1,0.5,0.32499999999999996,2.2857142857142856,0.875,0,2,0.0,1,0,177979.0,active
35.0,35.0,1,1.0,1,1.0,0.25,1.0,1.0,0,2,0.0,1,0,184930.0,active
26.0,78.0,3,1.0,1,1.0,0.25,1.0,3.0,0,2,4.0,0,0,185417.0,active
28.0,28.0,1,1.0,1,0.0,0.2,1.0,1.0,0,2,1.0,0,0,187335.0,active
31.0,31.0,1,1.0,1,0.0,0.3,1.0,1.0,0,2,28.0,0,0,194265.0,active
31.0,31.0,1,1.0,1,0.0,0.15,1.0,1.0,0,2,0.0,1,0,207358.0,active
61.0,61.0,1,2.0,1,1.0,0.2,1.0,1.0,0,2,1.0,0,0,232303.0,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,2,0.0,1,0,249634.0,active
38.166666666666664,229.0,6,1.3333333333333333,1,0.0,0.27499999999999997,4.857142857142857,1.2352941176470589,0,2,1.0,0,0,256371.0,active
36.25,145.0,4,1.25,3,0.75,0.2625,2.7142857142857144,1.4736842105263157,0,2,0.0,1,0,260538.0,active
65.33333333333333,392.0,6,2.3333333333333335,2,1.0,0.3583333333333334,6.857142857142857,0.875,0,2,0.0,1,0,264715.0,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,2,2.0,0,0,270470.0,active
