member_id,total_pushes,avg_push_discount,dormant_length,push_group,dormant_period_num,period_type
241326,28,,162,1,1,dormant
242663,11,,43,1,1,dormant
243360,61,,188,1,1,dormant
244772,15,,38,1,1,dormant
245680,92,,393,1,1,dormant
245959,23,,58,1,1,dormant
247004,16,,115,1,1,dormant
247801,38,,89,1,1,dormant
247823,45,,165,1,1,dormant
250830,1,,1,1,1,dormant
250942,9,,32,1,1,dormant
251171,7,,15,1,1,dormant
253302,6,,8,1,1,dormant
254057,24,,75,1,1,dormant
254498,59,,263,1,1,dormant
254912,15,,71,1,1,dormant
257347,29,,134,1,1,dormant
259760,1,,1,1,1,dormant
259804,7,,16,1,1,dormant
260483,33,,211,1,1,dormant
260863,38,,151,1,1,dormant
263062,63,,262,1,1,dormant
264208,160,,522,1,1,dormant
265884,6,,27,1,1,dormant
267717,4,,7,1,1,dormant
267961,1,,1,1,1,dormant
267995,43,,290,1,1,dormant
268031,17,,66,1,1,dormant
268262,2,,2,1,1,dormant
269662,23,,81,1,1,dormant
270094,20,,46,1,1,dormant
271960,23,,98,1,1,dormant
272472,24,,65,1,1,dormant
272766,60,,213,1,1,dormant
274472,30,,98,1,1,dormant
275975,74,,358,1,1,dormant
276525,2,,2,1,1,dormant
277372,2,,1,1,1,dormant
280144,65,,244,1,1,dormant
280546,24,,52,1,1,dormant
280728,43,,151,1,1,dormant
282013,85,,273,1,1,dormant
282594,13,,60,1,1,dormant
282659,59,,250,1,1,dormant
286060,9,,42,1,1,dormant
286743,146,,535,1,1,dormant
287759,14,,47,1,1,dormant
288121,56,,159,1,1,dormant
290027,29,,89,1,1,dormant
294666,39,,160,1,1,dormant
296876,4,,96,1,1,dormant
298420,15,,25,1,1,dormant
299953,100,,331,1,1,dormant
300034,75,,209,1,1,dormant
300181,27,,193,1,1,dormant
302136,99,,254,1,1,dormant
306142,10,,12,1,1,dormant
306206,4,,13,1,1,dormant
308838,50,,194,1,1,dormant
309477,57,,136,1,1,dormant
309949,45,,179,1,1,dormant
309951,15,,43,1,1,dormant
310027,44,,254,1,1,dormant
310288,23,,55,1,1,dormant
310487,1,,1,1,1,dormant
311167,113,,371,1,1,dormant
314608,90,,348,1,1,dormant
316722,19,,116,1,1,dormant
320204,25,,99,1,1,dormant
321409,44,,176,1,1,dormant
323560,82,,332,1,1,dormant
324444,148,,512,1,1,dormant
325678,40,,105,1,1,dormant
326503,112,,346,1,1,dormant
326629,28,,95,1,1,dormant
327499,28,,96,1,1,dormant
327865,9,,12,1,1,dormant
327923,24,,89,1,1,dormant
328104,21,,82,1,1,dormant
328526,35,,124,1,1,dormant
328878,142,,413,1,1,dormant
333020,14,,40,1,1,dormant
333038,41,,171,1,1,dormant
333774,42,,180,1,1,dormant
334264,54,,136,1,1,dormant
335371,24,,85,1,1,dormant
336891,4,,17,1,1,dormant
337762,4,,10,1,1,dormant
338149,55,,235,1,1,dormant
339797,2,,2,1,1,dormant
339857,88,,227,1,1,dormant
342771,15,,67,1,1,dormant
345355,25,,63,1,1,dormant
345489,101,,281,1,1,dormant
347219,17,,57,1,1,dormant
347919,33,,112,1,1,dormant
348222,77,,291,1,1,dormant
348272,35,,92,1,1,dormant
348831,11,,109,1,1,dormant
351845,86,,285,1,1,dormant
355999,50,,215,1,1,dormant
356213,3,,8,1,1,dormant
356530,5,,9,1,1,dormant
356894,46,,200,1,1,dormant
360643,2,,2,1,1,dormant
362892,4,,7,1,1,dormant
364788,55,,233,1,1,dormant
365261,49,,225,1,1,dormant
367603,72,,368,1,1,dormant
367986,44,,134,1,1,dormant
368338,21,,90,1,1,dormant
368608,24,,87,1,1,dormant
368634,23,,89,1,1,dormant
369279,3,,13,1,1,dormant
371444,6,,23,1,1,dormant
371529,142,,434,1,1,dormant
372980,20,,87,1,1,dormant
