treatment_dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,control_dept_id,pre_start,pre_end,during_start,during_end,n_products_pre,n_products_during,n_introduced_during,introduced_product_ids,introduced_product_names
59,2021-08-03,2021-08-19,17,dept_59_closure_2021-08-03,81,2021-07-17,2021-08-02,2021-08-03,2021-08-19,87,92,9,22|79|130|164|193|217|236|244|260,冰萃咖啡_1|抹茶慕斯拿铁|满杯葡萄_0|瑞纳冰_15|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|鸳鸯拿铁_2
59,2021-08-03,2021-08-19,17,dept_59_closure_2021-08-03,83,2021-07-17,2021-08-02,2021-08-03,2021-08-19,80,84,15,69|130|142|154|164|179|181|193|208|212|236|238|244|251|260,工夫厚乳|满杯葡萄_0|燕麦拿铁_2|牛油果很芒|瑞纳冰_15|瑞纳冰_7|瑞纳冰_9|生椰拿铁_6|美式_0|美式_4|茉莉抹抹茶|茉莉轻乳茶|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
59,2021-08-03,2021-08-19,17,dept_59_closure_2021-08-03,85,2021-07-17,2021-08-02,2021-08-03,2021-08-19,90,90,5,32|93|181|193|260,卡布奇诺_0|拿铁_21|瑞纳冰_9|生椰拿铁_6|鸳鸯拿铁_2
121,2021-08-03,2021-08-20,18,dept_121_closure_2021-08-03,116,2021-07-16,2021-08-02,2021-08-03,2021-08-20,85,87,13,32|70|72|75|130|140|142|164|179|181|193|202|236,卡布奇诺_0|工夫轻乳茶_0|巧克力_0|抹茶厚乳_0|满杯葡萄_0|燕麦拿铁_0|燕麦拿铁_2|瑞纳冰_15|瑞纳冰_7|瑞纳冰_9|生椰拿铁_6|红茶拿铁_2|茉莉抹抹茶
121,2021-08-03,2021-08-20,18,dept_121_closure_2021-08-03,119,2021-07-16,2021-08-02,2021-08-03,2021-08-20,0,0,0,,
121,2021-08-03,2021-08-20,18,dept_121_closure_2021-08-03,120,2021-07-16,2021-08-02,2021-08-03,2021-08-20,77,85,14,70|79|90|106|130|140|164|181|189|193|205|208|217|244,工夫轻乳茶_0|抹茶慕斯拿铁|拿铁_18|杨枝甘露_5|满杯葡萄_0|燕麦拿铁_0|瑞纳冰_15|瑞纳冰_9|生椰拿铁_2|生椰拿铁_6|纯牛奶_1|美式_0|胶原酸奶冻_2|葡萄很好喝_0
121,2021-08-03,2021-08-20,18,dept_121_closure_2021-08-03,123,2021-07-16,2021-08-02,2021-08-03,2021-08-20,84,93,13,32|59|62|90|133|164|181|193|208|217|221|236|260,卡布奇诺_0|宿舍椰果奶茶_0|小鹿招牌奶茶_0|拿铁_18|澳洲燕麦奶|瑞纳冰_15|瑞纳冰_9|生椰拿铁_6|美式_0|胶原酸奶冻_2|自习啵啵奶茶_0|茉莉抹抹茶|鸳鸯拿铁_2
121,2021-08-03,2021-08-20,18,dept_121_closure_2021-08-03,125,2021-07-16,2021-08-02,2021-08-03,2021-08-20,80,84,11,22|69|75|92|96|103|130|193|217|244|260,冰萃咖啡_1|工夫厚乳|抹茶厚乳_0|拿铁_20|拿铁_5|杨枝甘露_2|满杯葡萄_0|生椰拿铁_6|胶原酸奶冻_2|葡萄很好喝_0|鸳鸯拿铁_2
182,2021-08-03,2021-08-20,18,dept_182_closure_2021-08-03,166,2021-07-16,2021-08-02,2021-08-03,2021-08-20,0,0,0,,
182,2021-08-03,2021-08-20,18,dept_182_closure_2021-08-03,168,2021-07-16,2021-08-02,2021-08-03,2021-08-20,58,57,20,44|69|70|72|90|96|99|143|160|165|179|181|193|202|208|209|238|244|256|259,厚乳拿铁_18|工夫厚乳|工夫轻乳茶_0|巧克力_0|拿铁_18|拿铁_5|摩卡|燕麦拿铁_3|瑞纳冰_11|瑞纳冰_16|瑞纳冰_7|瑞纳冰_9|生椰拿铁_6|红茶拿铁_2|美式_0|美式_1|茉莉轻乳茶|葡萄很好喝_0|香草拿铁_0|鸳鸯拿铁_1
