treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",0,5,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",4,278,4,1,,,,,,
0,"0|(3616.0, 7231.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",4,76,4,1,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",1,3,1,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",3,3,3,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",24,66,24,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]",5,54,5,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",3,5,3,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",9,89,9,1,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",5,2,2,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",15,79,15,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",3,3,3,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",20,17,17,1,,,,,,
0,"0|(3616.0, 7231.0]|(10846.0, 14461.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",0,1,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(10846.0, 14461.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",1,0,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(10846.0, 14461.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",1,0,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",4,161,4,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",19,197,19,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",0,11,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",12,32,12,1,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",14,178,14,1,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",4,13,4,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",0,32,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",3,21,3,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",5,31,5,1,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",4,113,4,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",0,4,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",0,2,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",3,1,1,1,,,,,,
0,"0|(0.999, 3616.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",7,13,7,1,,,,,,
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",1,0,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",1,1,1,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",0,1,0,0,,,,,,
1,"1|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",3,7,3,1,,,,,,
