event_fe_id,rel_t_history,product_window_choices,new_product_window_choices,window_novelty
1566|59|2021-08-03,-4,1,0,0.0
1566|59|2021-08-03,-2,1,0,0.0
1566|59|2021-08-03,-1,1,1,1.0
1567|47|2021-07-30,-12,1,1,1.0
1567|47|2021-07-30,-11,3,2,0.6666666666666666
1567|47|2021-07-30,-10,2,1,0.5
1567|47|2021-07-30,-9,3,2,0.6666666666666666
1567|47|2021-07-30,-8,2,1,0.5
1567|47|2021-07-30,-7,1,0,0.0
1567|47|2021-07-30,-6,3,1,0.3333333333333333
1567|47|2021-07-30,-5,2,1,0.5
1570|131|2021-08-29,-12,1,1,1.0
1570|131|2021-08-29,-8,1,1,1.0
1570|131|2021-08-29,-6,1,1,1.0
1578|47|2021-07-30,-11,1,0,0.0
1578|47|2021-07-30,-5,1,0,0.0
1578|47|2021-07-30,-4,1,0,0.0
1578|47|2021-07-30,-3,1,0,0.0
1578|47|2021-07-30,-2,1,1,1.0
1578|47|2021-07-30,-1,1,1,1.0
1581|39|2021-07-25,-12,1,1,1.0
1581|39|2021-07-25,-7,2,2,1.0
1595|220|2021-08-03,-8,1,0,0.0
1596|5|2021-08-18,-4,1,1,1.0
1596|5|2021-08-18,-3,1,1,1.0
1596|5|2021-08-18,-1,1,1,1.0
1605|47|2021-07-30,-8,6,5,0.8333333333333334
1607|46|2021-08-04,-12,1,1,1.0
1607|46|2021-08-04,-9,1,1,1.0
1607|46|2021-08-04,-7,1,1,1.0
1607|46|2021-08-04,-4,2,1,0.5
1611|62|2021-08-04,-6,2,1,0.5
1611|62|2021-08-04,-5,1,0,0.0
1611|62|2021-08-04,-1,1,0,0.0
1627|220|2021-08-03,-12,2,1,0.5
1627|220|2021-08-03,-9,1,0,0.0
1627|220|2021-08-03,-8,1,0,0.0
1627|220|2021-08-03,-7,2,2,1.0
1627|220|2021-08-03,-3,1,1,1.0
1627|220|2021-08-03,-1,1,0,0.0
1650|39|2021-07-25,-6,1,1,1.0
1650|39|2021-07-25,-5,1,0,0.0
1650|39|2021-07-25,-4,1,1,1.0
1650|39|2021-07-25,-3,1,1,1.0
1650|39|2021-07-25,-2,1,1,1.0
1664|133|2021-07-28,-11,2,2,1.0
1664|133|2021-07-28,-10,1,0,0.0
