spec,row_term,column_term,covariance
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m3_X_treated_X_disp,-0.0002912474179359075
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m3_X_density,2.1941776592753834e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m3_X_treated_X_density,0.0002072992605827268
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m3_X_disp_X_density,-5.752174145242557e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m3_X_treated_X_disp_X_density,-8.635937397395375e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m2_X_treated,0.00028584598494309183
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m2_X_disp,-1.0665838038463933e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m2_X_treated_X_disp,-0.00021599820125794313
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m2_X_density,4.821473666987438e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m2_X_treated_X_density,0.0002968613989731188
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m2_X_disp_X_density,-5.335918715251876e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m2_X_treated_X_disp_X_density,-7.116549707982775e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p1_X_treated,0.000339600290220672
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p1_X_disp,3.9633411339075226e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p1_X_treated_X_disp,-0.0002940098097644557
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p1_X_density,6.007857861505018e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p1_X_treated_X_density,0.0005566703413386812
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p1_X_disp_X_density,-8.790358091868344e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p1_X_treated_X_disp_X_density,-0.0004498963783454172
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p2_X_treated,5.07498181677461e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p2_X_disp,-6.876991351682668e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p2_X_treated_X_disp,-4.1891917006976656e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p2_X_density,3.9325920193303134e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p2_X_treated_X_density,0.0001089891232308599
