member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
234422,46,2021-08-04,0.4444444444444444,0,middle,quartile_tails,0.25,1.0
234446,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
236547,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
236968,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
237951,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
239603,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
240956,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
241703,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
242407,46,2021-08-04,0.6222222222222222,0,middle,quartile_tails,0.25,1.0
242448,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
242763,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
243994,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
244606,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
245397,46,2021-08-04,0.1875,1,baseline,quartile_tails,0.25,1.0
245867,46,2021-08-04,0.08333333333333333,1,baseline,quartile_tails,0.25,1.0
245943,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
246234,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
248072,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
248938,46,2021-08-04,0.2222222222222222,1,baseline,quartile_tails,0.25,1.0
249080,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
249251,46,2021-08-04,0.9,0,middle,quartile_tails,0.25,1.0
249481,46,2021-08-04,0.39464285714285713,0,middle,quartile_tails,0.25,1.0
251047,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
251051,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
251577,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
251828,46,2021-08-04,0.4375,0,middle,quartile_tails,0.25,1.0
252825,46,2021-08-04,0.08333333333333333,1,baseline,quartile_tails,0.25,1.0
253553,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
258418,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
259414,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
260668,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
260825,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
260895,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
261074,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
262465,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
262691,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
262852,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
263255,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
267730,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
267970,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
269437,46,2021-08-04,0.2222222222222222,1,baseline,quartile_tails,0.25,1.0
269726,46,2021-08-04,0.3125,0,middle,quartile_tails,0.25,1.0
270495,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
271505,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
272461,46,2021-08-04,0.1125,1,baseline,quartile_tails,0.25,1.0
273418,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
273537,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
277671,46,2021-08-04,0.4583333333333333,0,middle,quartile_tails,0.25,1.0
278285,46,2021-08-04,0.41666666666666663,0,middle,quartile_tails,0.25,1.0
279137,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
280352,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
280572,46,2021-08-04,0.9166666666666666,0,middle,quartile_tails,0.25,1.0
281284,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
282552,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
284374,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
284517,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
285004,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
285015,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
285088,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
285175,46,2021-08-04,0.375,0,middle,quartile_tails,0.25,1.0
285228,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
285399,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
285620,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
288064,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
288353,46,2021-08-04,0.6,0,middle,quartile_tails,0.25,1.0
288584,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
289876,46,2021-08-04,0.8690476190476191,0,middle,quartile_tails,0.25,1.0
290015,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
290046,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
291690,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
294219,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
296228,46,2021-08-04,0.625,0,middle,quartile_tails,0.25,1.0
297072,46,2021-08-04,0.611111111111111,0,middle,quartile_tails,0.25,1.0
297235,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
298065,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
299029,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
299913,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
300486,46,2021-08-04,0.35,0,middle,quartile_tails,0.25,1.0
300637,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
301255,46,2021-08-04,0.3375,0,middle,quartile_tails,0.25,1.0
301381,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
301805,46,2021-08-04,0.23214285714285715,1,baseline,quartile_tails,0.25,1.0
302952,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
303035,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
304332,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
