evaluation_slice,closure_event_id,closure_duration_days,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
treated_pre_t-1,dept_220_closure_2021-08-03,10,590,62,528,0.10508474576271186,0.21055084916484795,0.8949152542372881,0.5,0.15932203389830507,464,64,32,30,0.8372881355932204,0.4838709677419355,0.8787878787878788,0.12121212121212122,0.5161290322580645,0.3191489361702128,0.9354838709677419,0.38461538461538464,0.7796309872922776,0.3505310159052453,0.35524460366045385,0.12344624516437432,0.09404194197069807,-0.3126722245148674,-1.578593383878677,0.4196899090060962
treated_pre_t-1,dept_238_closure_2021-07-24,29,715,366,349,0.5118881118881119,0.47317879561650716,0.4881118881118881,0.5,0.47692307692307695,274,75,100,266,0.7552447552447552,0.726775956284153,0.7851002865329513,0.2148997134670487,0.273224043715847,0.7800586510263929,0.732620320855615,0.7524752475247525,0.80885277216716,0.805916233175544,0.8064312244615008,0.1908920570395848,0.24985867279573573,0.23599987583523774,0.14070951816909966,0.4559326980672595
treated_pre_t-1,dept_246_closure_2021-07-27,13,75,11,64,0.14666666666666667,0.15620968387384587,0.8533333333333333,0.5,0.13333333333333333,59,5,6,5,0.8533333333333334,0.45454545454545453,0.921875,0.078125,0.5454545454545454,0.5,0.9076923076923077,0.47619047619047616,0.8650568181818181,0.5737810301515036,0.5914548271099074,0.10187853404148797,0.12515555555555555,0.18598472445544056,-0.5943341669577449,0.5513071335180509
treated_pre_t-1,dept_39_closure_2021-07-25,26,230,117,113,0.508695652173913,0.47128438689219565,0.491304347826087,0.5,0.43478260869565216,92,21,38,79,0.7434782608695653,0.6752136752136753,0.8141592920353983,0.18584070796460178,0.3247863247863248,0.79,0.7076923076923077,0.728110599078341,0.82119355570683,0.8502670615435437,0.8509088737528321,0.18053275768158264,0.24992438563327032,0.27765048927042424,0.1388838963601727,0.6378725488054326
treated_pre_t-1,dept_3_closure_2021-08-09,14,687,233,454,0.33915574963609896,0.2666601879990577,0.660844250363901,0.5,0.20378457059679767,414,40,133,100,0.7481804949053857,0.4291845493562232,0.9118942731277533,0.0881057268722467,0.5708154506437768,0.7142857142857143,0.7568555758683729,0.5361930294906166,0.7827324119415402,0.6453180923752041,0.6473375356318721,0.18438049903919676,0.22412912712487473,0.17734699900710282,0.15669019357767944,0.6297408853898194
treated_pre_t-1,dept_44_closure_2021-07-24,13,366,113,253,0.3087431693989071,0.24565630557075654,0.6912568306010929,0.5,0.20491803278688525,227,26,64,49,0.7540983606557377,0.4336283185840708,0.8972332015810277,0.10276679841897234,0.5663716814159292,0.6533333333333333,0.7800687285223368,0.5212765957446809,0.7811046206582952,0.6566145503769468,0.6585920936037992,0.17538599014334333,0.21342082474842486,0.17821519830558263,-0.06460781048743434,0.4474242990417344
treated_pre_t-1,dept_46_closure_2021-08-04,16,304,50,254,0.16447368421052633,0.2653729342873703,0.8355263157894737,0.5,0.23684210526315788,209,45,23,27,0.7763157894736842,0.54,0.8228346456692913,0.17716535433070865,0.46,0.375,0.9008620689655172,0.4426229508196721,0.762755905511811,0.3997181342047822,0.4066433841040528,0.17053361353062813,0.1374220914127424,-0.240947592759569,-1.2289159700880987,0.33573703804672167
treated_pre_t-1,dept_47_closure_2021-07-30,12,220,42,178,0.19090909090909092,0.2573146238975989,0.8090909090909091,0.5,0.23636363636363636,150,28,18,24,0.7909090909090909,0.5714285714285714,0.8426966292134831,0.15730337078651685,0.42857142857142855,0.46153846153846156,0.8928571428571429,0.5106382978723404,0.8218298555377207,0.5848224684352878,0.589415381808577,0.14108621066307336,0.15446280991735536,0.08660077633858332,-0.8992222795969567,0.4859143388235986
treated_pre_t-1,dept_59_closure_2021-08-03,17,403,110,293,0.2729528535980149,0.30521467431011046,0.7270471464019851,0.5,0.2729528535980149,244,49,49,61,0.7568238213399504,0.5545454545454546,0.8327645051194539,0.16723549488054607,0.44545454545454544,0.5545454545454546,0.8327645051194539,0.5545454545454546,0.8182748991622711,0.6401757925267862,0.6424433333320098,0.15792777636206956,0.19844959331071554,0.20419198786263248,-0.4783329377928118,0.5481805516266938
treated_pre_t-1,dept_5_closure_2021-08-18,14,426,35,391,0.08215962441314555,0.14735086968178454,0.9178403755868545,0.5,0.06572769953051644,374,17,24,11,0.903755868544601,0.3142857142857143,0.9565217391304348,0.043478260869565216,0.6857142857142857,0.39285714285714285,0.9396984924623115,0.3492063492063492,0.7955425648520277,0.2616645106928916,0.2796455211000459,0.07930342345450274,0.0754094205294364,-0.05163814942121592,-1.1355335506653217,0.7321855924953817
treated_pre_t-1,dept_62_closure_2021-08-04,14,224,34,190,0.15178571428571427,0.24405202675890386,0.8482142857142857,0.5,0.1875,166,24,16,18,0.8214285714285714,0.5294117647058824,0.8736842105263158,0.12631578947368421,0.47058823529411764,0.42857142857142855,0.9120879120879121,0.47368421052631576,0.7812693498452012,0.5062910671845549,0.511858427482976,0.1318930604814284,0.12874681122448978,-0.02443749268051887,-1.1536712494758923,0.5320012404150118
treated_pre_t-1,dept_8_closure_2021-05-27,15,123,48,75,0.3902439024390244,0.36316978249640197,0.6097560975609756,0.5,0.34146341463414637,63,12,18,30,0.7560975609756098,0.625,0.84,0.16,0.375,0.7142857142857143,0.7777777777777778,0.6666666666666666,0.7805555555555556,0.7784740887744871,0.7803603284799473,0.18380722271122332,0.2379535990481856,0.22755014655608397,-0.12907033343156185,0.39227496526099276
