closure_event_id,treated_dept_id,store_id,treated_store,closure_start,closure_end,rel_t,post,period_start,period_end,n_baskets,n_members,n_products,rarefied_products_50,core_coverage,menu_jaccard_pre,event_store_fe,event_rel_fe,treated_store_X_post
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,4,1,2021-08-16,2021-08-22,199,148,51,25.84,0.6923076923076923,0.45161290322580644,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|4,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,-4,0,2021-06-17,2021-06-23,779,637,77,28.91,0.9305555555555556,0.8191489361702128,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|-4,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,-3,0,2021-06-24,2021-06-30,732,590,80,28.82,1.0,0.851063829787234,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|-3,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,-2,0,2021-07-01,2021-07-07,691,566,75,28.19,0.9722222222222222,0.7978723404255319,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|-2,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,-1,0,2021-07-08,2021-07-14,687,565,79,27.89,0.9583333333333334,0.8404255319148937,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|-1,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,1,1,2021-07-26,2021-08-01,300,241,68,30.88,0.75,0.6530612244897959,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|1,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,2,1,2021-08-02,2021-08-08,324,263,64,28.2,0.625,0.5047619047619047,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|2,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,3,1,2021-08-09,2021-08-15,343,283,65,28.58,0.625,0.48598130841121495,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|3,0
dept_19_closure_2021-07-15,19,37,0,2021-07-15,2021-07-25,4,1,2021-08-16,2021-08-22,381,326,72,29.31,0.6666666666666666,0.4954954954954955,dept_19_closure_2021-07-15|37,dept_19_closure_2021-07-15|4,0
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,-4,0,2021-06-24,2021-06-30,934,679,79,29.18,0.9583333333333334,0.8315789473684211,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|-4,0
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,-3,0,2021-07-01,2021-07-07,977,708,73,30.37,0.9583333333333334,0.7684210526315789,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|-3,0
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,-2,0,2021-07-08,2021-07-14,956,685,80,31.57,1.0,0.8421052631578947,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|-2,0
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,-1,0,2021-07-15,2021-07-21,782,581,77,31.16,0.9027777777777778,0.8105263157894737,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|-1,0
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,1,1,2021-08-19,2021-08-25,752,507,87,31.84,0.9166666666666666,0.75,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|1,1
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,2,1,2021-08-26,2021-09-01,806,567,88,32.26,0.9166666666666666,0.7596153846153846,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|2,1
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,3,1,2021-09-02,2021-09-08,803,552,89,31.78,0.8888888888888888,0.7037037037037037,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|3,1
dept_124_closure_2021-07-22,124,124,1,2021-07-22,2021-08-18,4,1,2021-09-09,2021-09-15,891,626,90,30.32,0.8472222222222222,0.6818181818181818,dept_124_closure_2021-07-22|124,dept_124_closure_2021-07-22|4,1
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,-4,0,2021-06-24,2021-06-30,297,215,58,27.37,0.8846153846153846,0.6590909090909091,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|-4,0
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,-3,0,2021-07-01,2021-07-07,270,199,59,27.75,0.9230769230769231,0.6704545454545454,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|-3,0
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,-2,0,2021-07-08,2021-07-14,313,231,65,29.26,0.9615384615384616,0.7386363636363636,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|-2,0
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,-1,0,2021-07-15,2021-07-21,304,231,64,29.75,0.9230769230769231,0.7272727272727273,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|-1,0
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,1,1,2021-08-19,2021-08-25,283,198,71,33.53,0.75,0.5436893203883495,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|1,0
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,2,1,2021-08-26,2021-09-01,301,216,62,28.88,0.75,0.5151515151515151,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|2,0
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,3,1,2021-09-02,2021-09-08,300,234,64,28.68,0.75,0.47572815533980584,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|3,0
dept_124_closure_2021-07-22,124,113,0,2021-07-22,2021-08-18,4,1,2021-09-09,2021-09-15,281,203,67,28.61,0.6923076923076923,0.47619047619047616,dept_124_closure_2021-07-22|113,dept_124_closure_2021-07-22|4,0
dept_124_closure_2021-07-22,124,117,0,2021-07-22,2021-08-18,-4,0,2021-06-24,2021-06-30,0,0,0,,,,dept_124_closure_2021-07-22|117,dept_124_closure_2021-07-22|-4,0
dept_124_closure_2021-07-22,124,117,0,2021-07-22,2021-08-18,-3,0,2021-07-01,2021-07-07,0,0,0,,,,dept_124_closure_2021-07-22|117,dept_124_closure_2021-07-22|-3,0
dept_124_closure_2021-07-22,124,117,0,2021-07-22,2021-08-18,-2,0,2021-07-08,2021-07-14,0,0,0,,,,dept_124_closure_2021-07-22|117,dept_124_closure_2021-07-22|-2,0
