member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
201828,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9989705,1
202492,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.03867231,0
202796,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.13111807,0
203778,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.16189341,0
204540,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9068517,1
207418,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.023964467,0
207498,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.94867516,1
208260,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.80798537,1
209328,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.95407367,1
209939,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.94879425,1
210534,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.13876133,0
210614,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.91330373,1
211272,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9562724,1
214224,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.96819323,1
214507,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9637876,1
216198,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.08068853,0
