member_id,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount
402884.0,1,3,4.0,0,0
408616.0,1,3,4.0,0,0
411079.0,1,3,32.0,0,0
418362.0,1,3,5.0,0,0
429734.0,1,3,78.0,0,0
430947.0,1,3,4.0,0,0
439243.0,1,3,2.0,0,0
439808.0,1,3,2.0,0,0
440137.0,1,3,3.0,0,0
445190.0,1,3,4.0,0,0
446647.0,1,3,30.0,0,0
447820.0,1,3,1.0,0,0
457496.0,1,3,3.0,0,0
463515.0,1,3,3.0,0,0
465413.0,1,3,6.0,0,0
470872.0,1,3,5.0,0,0
481019.0,1,3,5.0,0,0
483575.0,1,3,2.0,0,0
487827.0,1,3,2.0,0,0
494143.0,1,3,2.0,0,0
496493.0,1,3,46.0,0,0
520795.0,1,3,4.0,0,0
525869.0,1,3,6.0,0,0
525946.0,1,3,1.0,0,0
526050.0,1,3,1.0,0,0
528799.0,1,3,7.0,0,0
530326.0,1,3,5.0,0,0
532040.0,1,3,5.0,0,0
535288.0,1,3,4.0,0,0
536034.0,1,3,6.0,0,0
563301.0,1,3,2.0,0,0
570821.0,1,3,6.0,0,0
579376.0,1,3,3.0,0,0
586274.0,1,3,1.0,0,0
589557.0,1,3,6.0,0,0
595360.0,1,3,6.0,0,0
597291.0,1,3,6.0,0,0
598768.0,1,3,4.0,0,0
601269.0,1,3,21.0,0,0
603312.0,1,3,5.0,0,0
606247.0,1,3,1.0,0,0
607574.0,1,3,1.0,0,0
609412.0,1,3,2.0,0,0
611975.0,1,3,1.0,0,0
621566.0,1,3,6.0,0,0
624010.0,1,3,1.0,0,0
626155.0,1,3,2.0,0,0
627156.0,1,3,25.0,0,0
627626.0,1,3,1.0,0,0
634969.0,1,3,1.0,0,0
642620.0,1,3,7.0,0,0
658268.0,1,3,5.0,0,0
666216.0,1,3,5.0,0,0
672603.0,1,3,3.0,0,0
678800.0,1,3,1.0,0,0
680278.0,1,3,1.0,0,0
688039.0,1,3,13.0,0,0
692136.0,1,3,1.0,0,0
696732.0,1,3,4.0,0,0
705937.0,1,3,4.0,0,0
706469.0,1,3,4.0,0,0
707184.0,1,3,5.0,0,0
707783.0,1,3,1.0,0,0
711278.0,1,3,5.0,0,0
713393.0,1,3,5.0,0,0
716826.0,1,3,3.0,0,0
721216.0,1,3,3.0,0,0
724366.0,1,3,2.0,0,0
727245.0,1,3,4.0,0,0
728792.0,1,3,3.0,0,0
729849.0,1,3,1.0,0,0
732518.0,1,3,4.0,0,0
739555.0,1,3,3.0,0,0
740899.0,1,3,3.0,0,0
745605.0,1,3,5.0,0,0
753666.0,1,3,4.0,0,0
755161.0,1,3,1.0,0,0
756533.0,1,3,1.0,0,0
759598.0,1,3,6.0,0,0
759609.0,1,3,1.0,0,0
766393.0,1,3,1.0,0,0
769279.0,1,3,1.0,0,0
771736.0,1,3,1.0,0,0
792503.0,1,3,1.0,0,0
802943.0,1,3,5.0,0,0
1854.0,1,4,3.0,0,0
39121.0,1,4,3.0,0,0
51437.0,1,4,2.0,0,0
55923.0,1,4,14.0,0,0
72369.0,1,4,3.0,0,0
